symbol,buy_date,sell_date,hold_days,entry_price,exit_price,qty,pnl_usd,pct_gain,exit_type
AMD,2025-05-07,2025-05-12,5,100.36,108.12,100,776.0,7.73,take_profit
AMD,2025-05-14,2025-05-15,1,117.72,114.99,86,-234.78,-2.32,stop_loss
AMD,2025-06-16,2025-06-24,8,126.39,138.43,41,493.64,9.53,take_profit
AMD,2025-07-15,2025-07-25,10,155.61,166.47,63,684.18,6.98,take_profit
AMD,2025-07-29,2025-08-01,3,177.44,171.7,56,-321.44,-3.23,stop_loss
AMD,2025-08-06,2025-08-12,6,163.12,174.95,60,709.8,7.25,take_profit
AMD,2025-08-13,2025-08-15,2,184.42,177.51,54,-373.14,-3.75,stop_loss
AMD,2025-10-06,2025-10-08,2,203.71,235.56,49,1560.65,15.63,take_profit
AMD,2025-10-08,2025-10-10,2,235.56,214.9,44,-909.04,-8.77,stop_loss
AMD,2025-10-10,2025-10-15,5,214.9,238.6,48,1137.6,11.03,take_profit
AMD,2025-11-12,2025-11-13,1,258.89,247.96,22,-240.46,-4.22,stop_loss
AMD,2026-01-15,2026-01-21,6,227.92,249.8,26,568.88,9.6,take_profit
AMD,2026-04-16,2026-04-22,6,278.26,303.46,38,957.6,9.06,take_profit
AMD,2026-04-24,2026-04-27,3,347.81,334.63,31,-408.58,-3.79,stop_loss
AMD,2026-05-05,2026-05-06,1,355.26,421.39,30,1983.9,18.61,take_profit
ARM,2025-05-07,2025-05-08,1,124.19,116.52,80,-613.6,-6.18,stop_loss
ARM,2025-05-08,2025-05-12,4,116.52,124.81,53,439.37,7.11,take_profit
ARM,2025-05-14,2025-05-21,7,133.45,130.45,76,-228.0,-2.25,stop_loss
ARM,2025-06-27,2025-06-30,3,165.46,161.74,60,-223.2,-2.25,stop_loss
ARM,2025-09-10,2025-09-12,2,154.14,150.64,35,-122.5,-2.27,stop_loss
ARM,2025-09-18,2025-09-19,1,146.54,142.91,53,-192.39,-2.48,stop_loss
ARM,2025-10-01,2025-10-08,7,150.38,166.77,64,1048.96,10.9,take_profit
ARM,2025-10-08,2025-10-10,2,166.77,154.81,34,-406.64,-7.17,stop_loss
ARM,2025-10-13,2025-10-14,1,171.94,168.16,46,-173.88,-2.2,stop_loss
ARM,2025-10-14,2025-10-27,13,168.16,178.62,38,397.48,6.22,take_profit
ARM,2026-02-06,2026-02-25,19,123.7,131.74,52,418.08,6.5,take_profit
ARM,2026-03-20,2026-03-25,5,132.35,157.07,28,692.16,18.68,take_profit
ARM,2026-03-26,2026-03-27,1,154.8,144.13,68,-725.56,-6.89,stop_loss
ARM,2026-04-22,2026-04-24,2,196.57,234.81,54,2064.96,19.45,take_profit
ARM,2026-04-24,2026-04-27,3,234.81,215.88,46,-870.78,-8.06,stop_loss
ARM,2026-04-27,2026-04-28,1,215.88,198.65,50,-861.5,-7.98,stop_loss
ARM,2026-04-28,2026-05-01,3,198.65,211.18,54,676.62,6.31,take_profit
ARM,2026-05-06,2026-05-07,1,237.3,213.31,47,-1127.53,-10.11,stop_loss
ARM,2026-05-07,2026-05-12,5,213.31,207.92,51,-274.89,-2.53,stop_loss
ARM,2026-05-20,2026-05-21,1,256.73,298.23,43,1784.5,16.16,take_profit
DELL,2025-05-29,2025-05-30,1,111.93,109.6,90,-209.22,-2.08,stop_loss
DELL,2025-05-30,2025-06-02,3,109.6,106.46,92,-289.08,-2.87,stop_loss
DELL,2025-07-18,2025-07-22,4,129.27,122.97,64,-403.58,-4.88,stop_loss
DELL,2025-09-30,2025-10-07,7,140.22,149.22,71,639.02,6.42,take_profit
DELL,2025-10-07,2025-10-08,1,149.22,162.73,68,918.71,9.05,take_profit
DELL,2025-10-09,2025-10-10,1,154.24,148.92,68,-361.83,-3.45,stop_loss
DELL,2026-02-27,2026-03-10,11,147.62,143.36,70,-298.68,-2.89,stop_loss
DELL,2026-03-20,2026-03-24,4,157.18,176.36,66,1265.92,12.2,take_profit
DELL,2026-05-06,2026-05-07,1,238.8,230.27,47,-400.91,-3.57,stop_loss
DELL,2026-05-11,2026-05-12,1,247.04,238.94,46,-372.6,-3.28,stop_loss
DELL,2026-05-26,2026-05-29,3,305.08,420.91,37,4285.71,37.97,take_profit
DELL,2026-05-29,2026-05-29,0,420.91,420.91,27,0.0,0.0,close_eob
MRVL,2025-05-29,2025-05-30,1,63.56,60.03,97,-342.45,-5.55,stop_loss
MRVL,2025-06-18,2025-06-23,5,74.75,70.59,134,-557.27,-5.56,stop_loss
MRVL,2025-07-02,2025-07-07,5,74.05,71.36,135,-363.52,-3.64,stop_loss
MRVL,2025-07-30,2025-08-01,2,81.59,74.31,60,-436.58,-8.92,stop_loss
MRVL,2025-09-24,2025-10-02,8,79.94,86.04,65,396.4,7.63,take_profit
MRVL,2025-10-31,2025-11-03,3,93.63,90.26,65,-218.78,-3.6,stop_loss
MRVL,2025-12-03,2025-12-04,1,100.08,98.07,97,-194.73,-2.01,stop_loss
MRVL,2026-03-06,2026-03-12,6,89.53,87.63,116,-220.29,-2.12,stop_loss
MRVL,2026-03-31,2026-04-01,1,99.0,106.66,106,811.55,7.73,take_profit
MRVL,2026-04-10,2026-04-17,7,128.49,139.69,82,918.4,8.72,take_profit
MRVL,2026-05-26,2026-05-27,1,208.26,198.7,54,-516.24,-4.59,stop_loss
MRVL,2026-05-27,2026-05-29,2,198.7,205.0,56,352.8,3.17,close_eob
MU,2025-06-05,2025-06-10,5,106.04,113.87,94,736.14,7.39,take_profit
MU,2025-06-25,2025-06-30,5,126.95,122.96,79,-315.25,-3.14,stop_loss
MU,2025-09-05,2025-09-10,5,131.18,139.8,76,654.93,6.57,take_profit
MU,2025-09-11,2025-09-17,6,150.35,159.76,67,630.23,6.26,take_profit
MU,2025-09-19,2025-09-25,6,162.49,156.6,62,-365.27,-3.63,stop_loss
MU,2025-11-14,2025-11-18,4,246.63,228.31,41,-750.91,-7.43,stop_loss
MU,2025-12-18,2025-12-19,1,248.35,265.7,27,468.6,6.99,take_profit
MU,2026-01-02,2026-01-06,4,315.29,343.29,32,895.94,8.88,take_profit
MU,2026-01-20,2026-01-21,1,364.85,388.95,28,674.8,6.61,take_profit
MU,2026-02-04,2026-02-11,7,379.24,410.17,19,587.61,8.15,take_profit
MU,2026-03-18,2026-03-19,1,461.54,444.08,14,-244.34,-3.78,stop_loss
MU,2026-03-19,2026-03-20,1,444.08,422.72,10,-213.61,-4.81,stop_loss
MU,2026-05-05,2026-05-08,3,640.2,746.81,17,1812.37,16.65,take_profit
MU,2026-05-08,2026-05-11,3,746.81,795.33,15,727.8,6.5,take_profit
MU,2026-05-12,2026-05-15,3,766.58,724.66,14,-586.88,-5.47,stop_loss
NOW,2025-04-24,2025-05-12,18,187.71,203.12,42,647.05,8.21,take_profit
NOW,2025-05-30,2025-06-10,11,202.22,201.96,18,-4.68,-0.13,sell
NOW,2025-09-19,2025-09-23,4,192.23,185.53,33,-220.97,-3.48,stop_loss
NOW,2026-05-29,2026-05-29,0,124.37,124.37,94,0.0,0.0,close_eob
NVDA,2025-05-29,2025-05-30,1,139.16,135.1,73,-296.31,-2.92,stop_loss
NVDA,2025-10-28,2025-11-05,8,201.01,195.19,26,-151.3,-2.9,stop_loss
NVDA,2026-04-30,2026-05-08,8,199.57,215.2,49,765.87,7.83,take_profit
NVDA,2026-05-29,2026-05-29,0,211.14,211.14,21,0.0,0.0,close_eob
PLTR,2025-05-06,2025-05-08,2,108.86,119.15,92,946.68,9.45,take_profit
PLTR,2025-05-30,2025-06-05,6,131.78,119.91,68,-807.16,-9.01,stop_loss
PLTR,2025-06-27,2025-07-01,4,130.74,130.68,35,-2.1,-0.05,sell
PLTR,2025-08-05,2025-08-08,3,173.27,186.96,57,780.33,7.9,take_profit
PLTR,2025-08-19,2025-08-22,3,157.75,158.74,24,23.76,0.63,sell
PLTR,2025-09-19,2025-09-26,7,182.39,177.57,55,-265.1,-2.64,stop_loss
PLTR,2025-10-03,2025-10-08,5,173.07,183.56,50,524.5,6.06,take_profit
PLTR,2025-11-03,2025-11-04,1,207.18,190.74,50,-822.0,-7.94,stop_loss
PLTR,2025-11-10,2025-11-12,2,193.61,184.17,32,-302.08,-4.88,stop_loss
PLTR,2025-12-19,2025-12-26,7,193.38,188.71,52,-242.84,-2.41,stop_loss
PLTR,2026-05-29,2026-05-29,0,156.54,156.54,63,0.0,0.0,close_eob
QCOM,2025-06-27,2025-07-10,13,155.84,156.38,32,17.3,0.35,sell
QCOM,2025-09-19,2025-10-10,21,164.94,151.83,36,-471.9,-7.95,stop_loss
QCOM,2025-10-27,2025-10-28,1,185.53,178.96,50,-328.7,-3.54,stop_loss
QCOM,2025-10-28,2025-10-30,2,178.96,175.23,34,-126.72,-2.08,stop_loss
QCOM,2025-12-19,2025-12-31,12,174.13,169.96,40,-166.93,-2.4,stop_loss
QCOM,2026-04-24,2026-04-30,6,148.85,179.58,69,2120.37,20.64,take_profit
QCOM,2026-04-30,2026-05-04,4,179.58,168.38,61,-683.2,-6.24,stop_loss
QCOM,2026-05-07,2026-05-08,1,202.55,219.09,54,893.16,8.17,take_profit
QCOM,2026-05-11,2026-05-12,1,237.53,210.31,48,-1306.56,-11.46,stop_loss
